respondent_id,duration_of_experiment,exp_risk_assessment,exp_blackbox,exp_developing_ml,exp_reading_ti_reports,random_group,rep1_likelihood_correct,rep2_likelihood_correct,rep3_likelihood_correct,rep4_likelihood_correct,rep5_likelihood_correct,rep6_likelihood_correct,rep7_likelihood_correct,rep8_likelihood_correct,total_likelihood_correct,average_confidence_assessment,average_considered_impact,good_understanding,sufficient_time,prepared_well_by_training
R_3EGfkDfLBd8gpt0,1862,As part of University projects,As part of University projects,No experience,As part of University projects,I,False,True,False,False,True,False,False,False,2,2.625,3.875,5,5,4
R_1i2JH7NwfAB6XPK,2106,No experience,No experience,No experience,Never seen one before,B,True,False,True,False,False,False,False,False,2,3.375,3.75,4,4,4
R_VUU7Ro2T6DlZbQR,2887,As part of University projects,As part of University projects,No experience,Never seen one before,J,False,False,True,True,True,False,False,True,4,3.125,3.75,5,5,3
R_RkUCuQCXlPpFqXD,2513,As part of University projects,As part of University projects,No experience,As part of University projects,A,False,False,False,False,False,True,True,False,2,3.0,2.0,5,5,3
R_2y7d0TAqsMCPDEj,3122,No experience,No experience,No experience,Never seen one before,B,True,False,True,True,False,False,False,False,3,3.25,4.125,3,5,1
R_31HKys4YJElIMIQ,3230,No experience,No experience,No experience,Never seen one before,C,True,True,True,False,True,False,True,True,6,3.75,4.125,5,5,4
R_2dtq2995ikhbeVP,3327,Performed one or two risk assessment projects outside of university,No experience,No experience,As part of University projects,F,True,True,True,True,True,False,True,True,7,2.875,4.5,2,5,3
R_1LHhr9JGk71YpZ8,3307,As part of University projects,As part of University projects,No experience,As part of University projects,K,False,True,True,True,False,False,True,False,4,3.0,3.375,5,5,4
R_2qg9VL97Lfr6kw5,3378,As part of University projects,As part of University projects,No experience,I have analyzed a few threat intelligence reports outside of University,L,True,False,False,False,False,False,False,False,1,3.625,3.5,4,5,5
R_1LGpWj3o7NoxbDe,3490,As part of University projects,No experience,No experience,As part of University projects,E,False,False,True,False,True,False,False,False,2,2.75,2.625,5,5,4
R_Y5ez3SNeaB0f505,3502,No experience,No experience,No experience,I have analyzed a few threat intelligence reports outside of University,F,False,True,True,False,False,False,True,False,3,3.625,4.75,2,5,2
R_2EhMVn7uXsZu9Ay,3291,As part of University projects,As part of University projects,No experience,As part of University projects,I,False,True,False,False,False,True,True,False,3,3.375,4.0,4,4,1
R_2TsFKpba3f8ZKwT,3940,As part of University projects,Used one or two ML algorithms outside of university,Developed one or two ML algorithms outside of university,As part of University projects,H,False,False,False,False,False,True,True,False,2,2.875,2.625,4,5,4
R_1N4ANeme2d47raB,3196,As part of University projects,As part of University projects,No experience,As part of University projects,K,True,False,True,False,False,False,False,True,3,4.0,4.625,5,5,5
