Duration (in seconds),ResponseId,Which Group,Coder Experience,WorkingJava,FindingVulns,PathLines,PathMotivation,InjectionLines,InjectionMotivation,XSSLines,XSSMotivation,DoSLines,DoSMotivation,Familiar.Java,Familiar.Vuln,Difficulty.Marks_1,Difficulty.Marks_2,Difficulty.Marks_3,Difficulty.Marks_4,Difficulty.Correct_1,Difficulty.Correct_2,Difficulty.Correct_3,Difficulty.Correct_4,Process.Understand,Process.Time,Process.Training,Process.remarks
2564,R_6VjPVPsjubWNXHF,Group5,Only as a Teaching Assistant,As part of University projects,As part of University projects,253;675;926,"253; No catch if the name is NULL. 675; Does not have any case that the name is NULL, might cause errors. 926; There is no case if either name or path is NULL",59;83,59; No case for if username is NULL. 83; No case if the credentials is NULL.,85; ,85; No case if there is NULL value for the string action,448;,448; there is nothing that closes the socket.,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,40-60%,60-80%,60-80%,20-40%,Agree,Agree,Disagree,
2687,R_2xzP3qObkA69NAD,Group2,Yes but in another programming language at a Company,Developed several projects using Java,As part of University projects,91,"The reason for the vulnerability is that there is a possibility for a malicious attacker to craft a path such that it can still point to an unexpected directory (after removing the slashes), and access a resource it may not be authorized to.",151;153,An attacker can pass in a null string and see the error output which may contain information about what Principal.getPassword() returns,89,"I could provide a link to a third part website in the action, which can, for example, pull malicious code from that server, and run it locally. It can also be used to direct visitors of that website to an unknown third-party website.",415,You can try to write too many bytes of data into the buffer causing it to overflow and point the stack pointer to anywhere you wish.,Agree,Neither-Agree-nor-Disagree,Easy,Neither Hard Nor Easy,Hard,Very Hard,60-80%,40-60%,20-40%,0-20%,Disagree,Agree,Strongly disagree,"Some of the questions were phrased in a very strange way. Especially the questions that said something along the lines of write the signature of the function that returns [some code]. I was not sure if it meant to return the signature of the function that the call was in, or the signature of the function that was being called.

Also, I did not use any lecture slides as the test was not clear if I was allowed to or not. This made it significantly more difficult to use the knowledge from the lecture.

"
3708,R_32Y1Hn1rVUXOZzP,Group1,Yes but in another programming language at a Company,No experience,No experience,348;349,"Within the getRealPath function, no validation of the path parameter is done. Though this function does not directly allow the caller to read the file, it does give them information about which files exist outside the virtual container.",62;84;,"Because the try in the digest function is not matched with a catch, the plain credentials are returned in case of failure. The authenticate function does not handle this so this error may propagate, disclosing the credentials string.",348;349;350;351;352;353;354,"In each of these lines, an optional attribute is added to the tagWriter. Each of these attributes are manually settable and not validated. This opens up possibilities for attackers to include malicious data like XSS",137;193;196;228;,"The buffer buf is filled throughout the function. This only ends when specific characters are seen. This leaves the opportunity to send a massive header file that does not have any of these special abort characters. Eventually, the memory runs out.",Disagree,Disagree,Hard,Easy,Neither Hard Nor Easy,Hard,40-60%,60-80%,60-80%,20-40%,Strongly agree,Strongly agree,Disagree,
3794,R_2vdWuXgTSThhtKg,Group2,Yes but in another programming language at a Company,As part of University projects,No experience,75;120,"At line 75, the path is passed to the code as request. The path is normalized but the normalized substring is created from multiple string operations. ",103;113;144;151;323;327;331,"The code takes various information from the client, including username and pathname to retrieve a file which is then pushed to the database. This allows user injections if unchecked.",73;86;87;89;91,The code can be vulnerable when the user configures a servletRelativeAction value as the value is then preprended with paths.,105;118;184;253;274;325;327;328;330;378;398;399;400;426;546;744;745;810,"Based on user input, the length of buffer streams are set and modified. The recycle() child function is also recursively called.",Agree,Agree,Easy,Easy,Easy,Neither Hard Nor Easy,40-60%,60-80%,60-80%,20-40%,Agree,Agree,Agree,
3947,R_3ZNSmOFtlGu0hFO,Group3,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,76;81;91;95,"Although the code provide a sanitizer in the normalizer, it still ignore some cases, for example, if the path end with ""/.."". The normalizer cannot find it as it only detects ""/../"".",62;87;90,"The string credentials can be null, and an exception will be shown on the user side, thus cause information disclosure",343;371;376,The tagWriter is not validated and may set the attribute value to be some malicious scripts.,398;426;433;438;811,There is no limitation on expanding the buffer size of pos and nread. The server may be killed when the memory is out. ,Agree,Disagree,Hard,Easy,Easy,Easy,20-40%,60-80%,60-80%,60-80%,Agree,Agree,Neither-Agree-nor-Disagree,
3943,R_5lnpT58nAAb4f8g,Group4,Yes in Java at a Company,Several years of professional experience with Java,Several years of professional experience outside of university,480;483;928;930,"The getJNDIUri method uses two strings, a path which is normalized to prevent path traversal, and a hostname which is taken from the HTTP request at line 480 context.getParent().getName(). As the hostname is attacker controlled path traversal happen.",151;287;301,"Within the authenticate method the credentials string may be of value null, and thus an exception will be thrown within the digest method and will return null. The return value of null will execute equals thus causing an exception and info leakage.",66;69;70,The code take the potentially user controlled action variable and passes it onwards to the processAction method without prior sanitization thus possibly leading to XSS.,51;121;235;,"First the header loop runs for as many headers as found within the request (thus user controllable). Then, the header is parsed and added to the headers map, for an unlimited amount of headers thus potentially causing DoS.",Agree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Easy,60-80%,60-80%,60-80%,60-80%,Disagree,Agree,Disagree,
3670,R_4NgoXAsj4ykMT4h,Group3,Not really,Developed several projects using Java,Find vulnerabilities outside university,76,"the normalize() function didn't check if the given path is valid, may cause redirect attack",59,the code get username from outside and doesn't check if the username is valid or contain attack code. ,364;365;429;437;451,"the code didn't check the inputName of getMethodParameter() is valid and safe, may cause XSS attack. In line 429 and 451, the requestUri is not checked or encoded, may contain attack code or information.",475;508,"when pos pointer moves, the buffer size is not checked, so it can exceed the buffer size or keep the program reading the header",Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Easy,Easy,Neither Hard Nor Easy,Hard,40-60%,40-60%,20-40%,20-40%,Agree,Agree,Neither-Agree-nor-Disagree,
4106,R_3ez9pWg1fb4UuBD,Group5,Yes but in another programming language at a Company,Developed project(s) using Java outside University,No experience,462,path and name of all the jar files can be exploited here as there is a hard coded file path is mentioned.,59,input username is not validated before using it in line no 59. It can be a code instead of real user name,73,RequestURI is not validated before calling and therefore it may cause cross-site scripting vulnerability,580,"This while loop might run infinitely causing memory outage. The ""break"" statement might never get executed. ",Disagree,Neither-Agree-nor-Disagree,Easy,Easy,Hard,Very Hard,60-80%,60-80%,60-80%,40-60%,Agree,Agree,Disagree,"More experiments and exercises required to perform such tasks comfortably.
Not worked with Java, also made the job bit difficult."
4255,R_3Y2NHgEILEl8upj,Group2,Yes in Java at a Company,Developed project(s) using Java outside University,As part of University projects,76;120,"The normalize function does not properly take out sequences of /../, which allows path traversal. ",151;301,"Password is compared case-insensitive even though there is no guarantee that when hasMessageDigest() returns true the credentials are converted to hex, since the digest() function may return the original string if the hex function failed.",73;74;75;76,"The request URI is used to determine the ""action"" field of a &lt;form&gt; that this web server will return to a user. By specifying javascript in the request URI we can compromise other users by sending them the link (and having them submit the form).",237;778;782,"There is no limit on how much data we can send to the server and the array ""buf"" will keep expanding to accommodate it. At any of the while loops that calls readSocket we can perform a DOS attack by sending enough data to fill the server's memory.",Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Hard,Easy,Easy,20-40%,0-20%,60-80%,60-80%,Agree,Agree,Neither-Agree-nor-Disagree,
4735,R_8wyQcvpYBK02KVV,Group3,Not really,No experience,No experience,76;108,"For 76 and 108, the input string might be a script which will do something bad.
",59;62,it doesn't check or sanitize the input,466;468;480;482,They did not check or sanitize the input before using it in other function,103; 747,"It doesn't check the size of the numbers, it may overflow ",Neither-Agree-nor-Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,80%-100%,80%-100%,60-80%,60-80%,Neither-Agree-nor-Disagree,Agree,Disagree,
