respondent_id,duration_of_experiment,which_group,exp_coding,exp_working_java,exp_finding_vuln,path_lines,path_lines_correctness,path_lines_type,path_motivation,path_difficulty,path_confidence,userinjection_lines,userinjection_lines_correctness,userinjection_lines_type,userinjection_motivation,userinjection_difficulty,userinjection_confidence,xss_lines,xss_lines_correctness,xss_lines_type,xss_motivation,xss_difficulty,xss_confidence,dos_lines,dos_lines_correctness,dos_lines_type,dos_motivation,dos_difficulty,dos_confidence,familiar_java,familiar_vuln,proc_understand,proc_time,proc_training,avg_correctness_slice,avg_correctness_full
R_6VjPVPsjubWNXHF,2564,Group5,Only as a Teaching Assistant,As part of University projects,As part of University projects,253;675;926,0.0,full,"253; No catch if the name is NULL. 675; Does not have any case that the name is NULL, might cause errors. 926; There is no case if either name or path is NULL",4,3,59;83,0.2,slice,59; No case for if username is NULL. 83; No case if the credentials is NULL.,3,4,85; ,0.0,slice,85; No case if there is NULL value for the string action,3,4,448;,0.0,full,448; there is nothing that closes the socket.,4,2,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Agree,Agree,Disagree,0.1,0.0
R_2xzP3qObkA69NAD,2687,Group2,Yes but in another programming language at a Company,Developed several projects using Java,As part of University projects,91,0.0,slice,"The reason for the vulnerability is that there is a possibility for a malicious attacker to craft a path such that it can still point to an unexpected directory (after removing the slashes), and access a resource it may not be authorized to.",2,4,151;153,0.2,full,An attacker can pass in a null string and see the error output which may contain information about what Principal.getPassword() returns,3,3,89,0.0,slice,"I could provide a link to a third part website in the action, which can, for example, pull malicious code from that server, and run it locally. It can also be used to direct visitors of that website to an unknown third-party website.",4,2,415,0.0,full,You can try to write too many bytes of data into the buffer causing it to overflow and point the stack pointer to anywhere you wish.,5,1,Agree,Neither-Agree-nor-Disagree,Disagree,Agree,Strongly disagree,0.0,0.1
R_32Y1Hn1rVUXOZzP,3708,Group1,Yes but in another programming language at a Company,No experience,No experience,348;349,0.0,full,"Within the getRealPath function, no validation of the path parameter is done. Though this function does not directly allow the caller to read the file, it does give them information about which files exist outside the virtual container.",4,3,62;84;,0.2,slice,"Because the try in the digest function is not matched with a catch, the plain credentials are returned in case of failure. The authenticate function does not handle this so this error may propagate, disclosing the credentials string.",2,4,348;349;350;351;352;353;354,0.0,full,"In each of these lines, an optional attribute is added to the tagWriter. Each of these attributes are manually settable and not validated. This opens up possibilities for attackers to include malicious data like XSS",3,4,137;193;196;228;,0.0,slice,"The buffer buf is filled throughout the function. This only ends when specific characters are seen. This leaves the opportunity to send a massive header file that does not have any of these special abort characters. Eventually, the memory runs out.",4,2,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,0.1,0.0
R_2vdWuXgTSThhtKg,3794,Group2,Yes but in another programming language at a Company,As part of University projects,No experience,75;120,0.07692307692307693,slice,"At line 75, the path is passed to the code as request. The path is normalized but the normalized substring is created from multiple string operations. ",2,3,103;113;144;151;323;327;331,0.4,full,"The code takes various information from the client, including username and pathname to retrieve a file which is then pushed to the database. This allows user injections if unchecked.",2,4,73;86;87;89;91,0.25,slice,The code can be vulnerable when the user configures a servletRelativeAction value as the value is then preprended with paths.,2,4,105;118;184;253;274;325;327;328;330;378;398;399;400;426;546;744;745;810,0.0,full,"Based on user input, the length of buffer streams are set and modified. The recycle() child function is also recursively called.",3,2,Agree,Agree,Agree,Agree,Agree,0.16346153846153846,0.2
R_3ZNSmOFtlGu0hFO,3947,Group3,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,76;81;91;95,0.23076923076923078,slice,"Although the code provide a sanitizer in the normalizer, it still ignore some cases, for example, if the path end with ""/.."". The normalizer cannot find it as it only detects ""/../"".",4,2,62;87;90,0.6,slice,"The string credentials can be null, and an exception will be shown on the user side, thus cause information disclosure",2,4,343;371;376,0.0,full,The tagWriter is not validated and may set the attribute value to be some malicious scripts.,2,4,398;426;433;438;811,0.0,full,There is no limitation on expanding the buffer size of pos and nread. The server may be killed when the memory is out. ,2,4,Agree,Disagree,Agree,Agree,Neither-Agree-nor-Disagree,0.41538461538461535,0.0
R_5lnpT58nAAb4f8g,3943,Group4,Yes in Java at a Company,Several years of professional experience with Java,Several years of professional experience outside of university,480;483;928;930,0.0,full,"The getJNDIUri method uses two strings, a path which is normalized to prevent path traversal, and a hostname which is taken from the HTTP request at line 480 context.getParent().getName(). As the hostname is attacker controlled path traversal happen.",3,4,151;287;301,0.4,full,"Within the authenticate method the credentials string may be of value null, and thus an exception will be thrown within the digest method and will return null. The return value of null will execute equals thus causing an exception and info leakage.",3,4,66;69;70,0.0,slice,The code take the potentially user controlled action variable and passes it onwards to the processAction method without prior sanitization thus possibly leading to XSS.,3,4,51;121;235;,0.3333333333333333,slice,"First the header loop runs for as many headers as found within the request (thus user controllable). Then, the header is parsed and added to the headers map, for an unlimited amount of headers thus potentially causing DoS.",2,4,Agree,Agree,Disagree,Agree,Disagree,0.16666666666666666,0.2
R_4NgoXAsj4ykMT4h,3670,Group3,Not really,Developed several projects using Java,Find vulnerabilities outside university,76,0.07692307692307693,slice,"the normalize() function didn't check if the given path is valid, may cause redirect attack",2,3,59,0.2,slice,the code get username from outside and doesn't check if the username is valid or contain attack code. ,2,3,364;365;429;437;451,0.25,full,"the code didn't check the inputName of getMethodParameter() is valid and safe, may cause XSS attack. In line 429 and 451, the requestUri is not checked or encoded, may contain attack code or information.",3,2,475;508,0.0,full,"when pos pointer moves, the buffer size is not checked, so it can exceed the buffer size or keep the program reading the header",4,2,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Agree,Agree,Neither-Agree-nor-Disagree,0.13846153846153847,0.125
R_3ez9pWg1fb4UuBD,4106,Group5,Yes but in another programming language at a Company,Developed project(s) using Java outside University,No experience,462,0.0,full,path and name of all the jar files can be exploited here as there is a hard coded file path is mentioned.,2,4,59,0.2,slice,input username is not validated before using it in line no 59. It can be a code instead of real user name,2,4,73,0.25,slice,RequestURI is not validated before calling and therefore it may cause cross-site scripting vulnerability,4,4,580,0.0,full,"This while loop might run infinitely causing memory outage. The ""break"" statement might never get executed. ",5,3,Disagree,Neither-Agree-nor-Disagree,Agree,Agree,Disagree,0.225,0.0
R_3Y2NHgEILEl8upj,4255,Group2,Yes in Java at a Company,Developed project(s) using Java outside University,As part of University projects,76;120,0.15384615384615385,slice,"The normalize function does not properly take out sequences of /../, which allows path traversal. ",4,2,151;301,0.2,full,"Password is compared case-insensitive even though there is no guarantee that when hasMessageDigest() returns true the credentials are converted to hex, since the digest() function may return the original string if the hex function failed.",4,1,73;74;75;76,1.0,slice,"The request URI is used to determine the ""action"" field of a &lt;form&gt; that this web server will return to a user. By specifying javascript in the request URI we can compromise other users by sending them the link (and having them submit the form).",2,4,237;778;782,0.0,full,"There is no limit on how much data we can send to the server and the array ""buf"" will keep expanding to accommodate it. At any of the while loops that calls readSocket we can perform a DOS attack by sending enough data to fill the server's memory.",2,4,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Agree,Agree,Neither-Agree-nor-Disagree,0.5769230769230769,0.1
R_8wyQcvpYBK02KVV,4735,Group3,Not really,No experience,No experience,76;108,0.15384615384615385,slice,"For 76 and 108, the input string might be a script which will do something bad.
",3,5,59;62,0.4,slice,it doesn't check or sanitize the input,3,5,466;468;480;482,0.0,full,They did not check or sanitize the input before using it in other function,3,4,103; 747,0.0,full,"It doesn't check the size of the numbers, it may overflow ",3,4,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,Agree,Disagree,0.27692307692307694,0.0
